year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1994,Johannesburg,15.10,9.04,14.9805072463768116,8.4587681159420290
1995,Johannesburg,15.77,9.35,14.9861870503597122,8.4651798561151079
1996,Johannesburg,15.23,9.04,14.9879285714285714,8.4692857142857143
1997,Johannesburg,15.38,9.20,14.9907092198581560,8.4744680851063830
1998,Johannesburg,16.11,9.52,14.9985915492957746,8.4818309859154930
1999,Johannesburg,16.09,9.29,15.0062237762237762,8.4874825174825175
2000,Johannesburg,15.13,9.20,15.0070833333333333,8.4924305555555556
2001,Johannesburg,15.68,9.41,15.0117241379310345,8.4987586206896552
2002,Johannesburg,15.88,9.57,15.0176712328767123,8.5060958904109589
2003,Johannesburg,16.34,9.53,15.0266666666666667,8.5130612244897959
2004,Johannesburg,15.49,9.32,15.0297972972972973,8.5185135135135135
2005,Johannesburg,16.29,9.70,15.0382550335570470,8.5264429530201342
2006,Johannesburg,15.26,9.53,15.0397333333333333,8.5331333333333333
2007,Johannesburg,15.90,9.73,15.0454304635761589,8.5410596026490066
2008,Johannesburg,15.75,9.43,15.0500657894736842,8.5469078947368421
2009,Johannesburg,15.44,9.51,15.0526143790849673,8.5532026143790850
2010,Johannesburg,16.11,9.70,15.0594805194805195,8.5606493506493506
2011,Johannesburg,15.49,9.52,15.0622580645161290,8.5668387096774194
2012,Johannesburg,15.89,9.51,15.0675641025641026,8.5728846153846154
2013,Johannesburg,14.98,9.61,15.0670063694267516,8.5794904458598726
1845,Manila,25.51,7.85,25.5100000000000000,7.8500000000000000
1846,Manila,26.41,8.55,25.9600000000000000,8.2000000000000000
1847,Manila,25.88,8.09,25.9333333333333333,8.1633333333333333
1848,Manila,25.68,7.98,25.8700000000000000,8.1175000000000000
1849,Manila,25.92,7.98,25.8800000000000000,8.0900000000000000
1850,Manila,25.92,7.90,25.8866666666666667,8.0583333333333333
1851,Manila,26.09,8.18,25.9157142857142857,8.0757142857142857
1852,Manila,26.02,8.10,25.9287500000000000,8.0787500000000000
1853,Manila,26.21,8.04,25.9600000000000000,8.0744444444444444
1854,Manila,26.33,8.21,25.9970000000000000,8.0880000000000000
1855,Manila,26.06,8.11,26.0027272727272727,8.0900000000000000
1856,Manila,25.65,8.00,25.9733333333333333,8.0825000000000000
1857,Manila,25.81,7.76,25.9607692307692308,8.0576923076923077
1858,Manila,25.95,8.10,25.9600000000000000,8.0607142857142857
1859,Manila,26.09,8.25,25.9686666666666667,8.0733333333333333
1860,Manila,26.01,7.96,25.9712500000000000,8.0662500000000000
1861,Manila,25.84,7.85,25.9635294117647059,8.0535294117647059
1862,Manila,25.35,7.56,25.9294444444444444,8.0261111111111111
1863,Manila,25.89,8.11,25.9273684210526316,8.0305263157894737
1864,Manila,25.73,7.98,25.9175000000000000,8.0280000000000000
1865,Manila,26.27,8.18,25.9342857142857143,8.0352380952380952
1866,Manila,26.11,8.29,25.9422727272727273,8.0468181818181818
1867,Manila,26.36,8.44,25.9604347826086957,8.0639130434782609
1868,Manila,26.42,8.25,25.9795833333333333,8.0716666666666667
1869,Manila,26.37,8.43,25.9952000000000000,8.0860000000000000
1870,Manila,26.25,8.20,26.0050000000000000,8.0903846153846154
1871,Manila,26.14,8.12,26.0100000000000000,8.0914814814814815
1872,Manila,26.28,8.19,26.0196428571428571,8.0950000000000000
1873,Manila,26.18,8.35,26.0251724137931034,8.1037931034482759
1874,Manila,26.41,8.43,26.0380000000000000,8.1146666666666667
1875,Manila,25.96,7.86,26.0354838709677419,8.1064516129032258
1876,Manila,25.73,8.08,26.0259375000000000,8.1056250000000000
1877,Manila,26.45,8.54,26.0387878787878788,8.1187878787878788
1878,Manila,26.62,8.83,26.0558823529411765,8.1397058823529412
1879,Manila,26.14,8.17,26.0582857142857143,8.1405714285714286
1880,Manila,25.86,8.12,26.0527777777777778,8.1400000000000000
1881,Manila,25.90,8.27,26.0486486486486486,8.1435135135135135
1882,Manila,26.03,8.13,26.0481578947368421,8.1431578947368421
1883,Manila,25.93,7.98,26.0451282051282051,8.1389743589743590
1884,Manila,25.44,7.77,26.0300000000000000,8.1297500000000000
1885,Manila,25.77,7.92,26.0236585365853659,8.1246341463414634
